geonameid	name	asciiname	alternatenames	latitude	longitude	"feature class"	"feature code"	"country code"	cc2	"admin1 code"	"admin2 code"	"admin3 code"	"admin4 code"	population	elevation	dem	timezone	"modification date"
7062775	Suti	Suti	Suti	-2.25622	29.52943	T	MT	RW		15	25	2511	251102	0	2215	2071	Africa/Kigali	2018-12-06
7062776	Shali-Murambi	Shali-Murambi		-2.2584	29.542	P	PPLL	RW		15	25	2512	251201	0		1840	Africa/Kigali	2016-07-06
7062777	Musezero	Musezero		-2.2594	29.7318	P	PPLL	RW		15	21	2106	210603	0		1760	Africa/Kigali	2016-07-06
7062778	Mutakara	Mutakara		-2.2593	29.5532	P	PPLL	RW		15	25	2512	251203	0		1749	Africa/Kigali	2016-07-06
7062779	Rwankango	Rwankango		-2.2591	29.5878	P	PPLL	RW		15	25	2512	251205	0		1649	Africa/Kigali	2016-07-06
7062780	Nyaruramba	Nyaruramba		-2.2603	29.6437	P	PPLL	RW		15	21	2103	210301	0		1784	Africa/Kigali	2016-07-06
7062781	Joma	Joma		-2.2607	29.6808	P	PPLL	RW		15	26	2601	260101	0		1702	Africa/Kigali	2016-07-06
7062782	Bahuhuli	Bahuhuli		-2.2613	29.5204	P	PPLL	RW		15	25	2511	251105	0		1833	Africa/Kigali	2016-07-06
7062783	Kigoma	Kigoma		-2.26093	29.56028	P	PPL	RW		15	25	2512	251203	0		1728	Africa/Kigali	2016-07-06
7062784	Rwina	Rwina		-2.2597	29.5773	P	PPLL	RW		15	25	2512	251205	0		1752	Africa/Kigali	2016-07-06
7062785	Gahoko	Gahoko		-2.2631	29.7185	P	PPLL	RW		15	21	2106	210603	0		1641	Africa/Kigali	2016-07-06
7062786	Cyabute Il	Cyabute Il		-2.2629	29.5154	P	PPLL	RW		15	25	2511	251105	0		1761	Africa/Kigali	2016-07-06
7062787	Nyagihima	Nyagihima		-2.2632	29.5646	P	PPLL	RW		15	25	2512	251203	0		1704	Africa/Kigali	2016-07-06
7062788	Murehe	Murehe		-2.2627	29.5906	P	PPLL	RW		15	25	2512	251205	0		1561	Africa/Kigali	2016-07-06
7062789	Gisuma	Gisuma		-2.2638	29.705	P	PPLL	RW		15	21	2106	210606	0		1829	Africa/Kigali	2016-07-06
7062790	Kagwa	Kagwa		-2.26187	29.7479	P	PPLL	RW		15	21	2106	210603	0		1668	Africa/Kigali	2016-07-06
7062791	Mutuntu	Mutuntu		-2.2639	29.5445	P	PPLL	RW		15	25	2512	251201	0		1901	Africa/Kigali	2016-07-06
7062792	Nyabishike	Nyabishike		-2.2636	29.651	P	PPLL	RW		15	21	2103	210305	0		1796	Africa/Kigali	2016-07-06
7062793	Gasenyi	Gasenyi		-2.2638	29.6249	P	PPLL	RW		15	21	2103	210301	0		1685	Africa/Kigali	2016-07-06
7062794	Kabakaraza	Kabakaraza		-2.2645	29.5026	P	PPLL	RW		15	25	2511	251104	0		1706	Africa/Kigali	2016-07-06
7062795	Gafumba	Gafumba		-2.2644	29.7301	P	PPLL	RW		15	21	2106	210603	0		1703	Africa/Kigali	2016-07-06
7062796	Kanyangore	Kanyangore		-2.2645	29.5721	P	PPLL	RW		15	25	2512	251203	0		1702	Africa/Kigali	2016-07-06
7062797	Nyabisazi	Nyabisazi		-2.2636	29.6103	P	PPL	RW		15	21	2103	210301	0		1553	Africa/Kigali	2016-07-06
